#Table V. Buchdahl FittingCoefficients,QuadraticModel,Visible Spectral Region 
#SCHOTT GLASS CATALOGUE: OUADRATIC MODEL.VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
LAKN6    1.643302  -.61300E-01  -.25817E-03  .000010   .000027   .400
LAKN7    1.652407  -.61612E-01  -.82255E-03  .000008   .000023   .400
LAK8     1.713962  -.73273E-01  -.26128E-03  .000009   .000024   .400
LAK9     1.691917  -.69861E-01   .27097E-03  .000010   .000027   .400
LAK10    1.721031  -.78844E-01   .31368E-02  .000010   .000028   .400
LAK11    1.659134  -.63610E-01  -.57353E-03  .000009   .000025   .400
LAKN12   1.678788  -.67795E-01  -.15477E-02  .000014   .000039   .400
LAKN13   1.694440  -.71714E-01   .29849E-02  .000017   .000045   .400
LAKN14   1.697711  -.69620E-01   .12083E-02  .000008   .000021   .400
LAKN16   1.734527  -.78462E-01   .16288E-02  .000012   .000032   .400
LAK20    1.694458  -.74111E-01   .43019E-02  .000019   .000049   .400
LAK21    1.641269  -.59043E-01  -.18276E-02  .000006   .000017   .400
LAKN22   1.651973  -.64358E-01   .89933E-03  .000012   .000033   .400
LAK23    1.669660  -.64458E-01  -.27334E-03  .000010   .000028   .400
LAK28    1.745347  -.80938E-01   .24433E-02  .000013   .000036   .400
LAK31    1.697628  -.68416E-01  -.19279E-02  .000006   .000016   .400
LLF1     1.549001  -.65813E-01   .91193E-02  .000011   .000029   .400
LLF2     1.541544  -.63031E-01   .76472E-02  .000010   .000027   .400
LLF3     1.560985  -.65294E-01   .80677E-02  .000009   .000025   .400
LLF4     1.562272  -.68146E-01   .99742E-02  .000011   .000030   .400
LLF6     1.532505  -.60016E-01   .60793E-02  .000009   .000024   .400
LLF7     1.549700  -.66401E-01   .91764E-02  .000011   .000029   .400
BAF3     1.583571  -.68850E-01   .96106E-02  .000015   .000038   .400
BAF4     1.606609  -.75587E-01   .12949E-01  .000017   .000044   .400
BAF5     1.608175  -.67598E-01   .71220E-02  .000015   .000039   .400
BAFN6    1.589874  -.66866E-01   .76376E-02  .000010   .000027   .400
BAF8     1.624694  -.72882E-01   .96512E-02  .000016   .000041   .400
BAF9     1.644242  -.73705E-01   .88647E-02  .000018   .000045   .400
BAFN10   1.671054  -.78140E-01   .10138E-01  .000014   .000037   .400
BAFN11   1.667712  -.75705E-01   .85411E-02  .000015   .000038   .400
BAF12    1.640316  -.77646E-01   .12235E-01  .000014   .000036   .400
BAF13    1.669988  -.81612E-01   .13170E-01  .000016   .000039   .400
BAF50    1.683828  -.84203E-01   .12325E-01  .000018   .000045   .400
BAF51    1.653284  -.79672E-01   .11933E-01  .000017   .000044   .400
BAF52    1.609531  -.71924E-01   .10507E-01  .000016   .000039   .455
BAF53    1.671053  -.78187E-01   .95482E-02  .000015   .000038   .400
BAF54    1.667716  -.76047E-01   .80052E-02  .000014   .000038   .400
LF1      1.574055  -.73775E-01   .13170E-01  .000014   .000036   .400
LF2      1.590243  -.78815E-01   .15822E-01  .000015   .000038   .400
