#Table V. Buchdahl FittingCoefficients,QuadraticModel,Visible Spectral Region 
#SCHOTT GLASS CATALOGUE: OUADRATIC MODEL.VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
BASF6    1.668691  -.87170E-01   .17643E-01  .000018   .000045   .455
BASF7    1.702754  -.93093E-01   .20246E-01  .000015   .000036   .455
BASF8    1.724781  -.10409E+00   .27432E-01  .000020   .000049   .455
BASF10   1.651338  -.90212E-01   .21109E-01  .000022   .000055   .455
BASF12   1.671199  -.93115E-01   .22072E-01  .000019   .000048   .460
BASFo7   1.702758  -.93218E-01   .18947E-01  .000018   .000046   .400
BASF08   1.724781  -.10396E+00   .24415E-01  .000024   .000060   .455
SF1      1.719089  -.13213E+00   .47624E-01  .000025   .000062   .460
SF2      1.649054  -.10446E+00   .30884E-01  .000022   .000054   .455
SP3      1.741853  -.14201E+00   .55327E-01  .000026   .000064   .460
SF4      1.757145  -.14892E+00   .60609E-01  .000022   .000055   .465
SF5      1.674192  -.11410E+00   .36808E-01  .000023   .000057   .455
SF6      1.807416  -.17140E+00   .76934E-01  .000025   .000061   .470
SF7      1.641118  -.10095E+00   .28334E-01  .000020   .000048   .455
SF8      1.690507  -.12063E+00   .40508E-01  .000021   .000051   .460
SF10     1.730063  -.13887E+00   .56236E-01  .000015   .000037   .465
SF11     1.786877  -.16519E+00   .78978E-01  .000010   .000021   .400
SF13     1.742657  -.14456E+00   .60712E-01  .000014   .000035   .470
SF14     1.763848  -.15535E+00   .70754E-01  .000013   .000031   .485
SF15     1.700595  -.12606E+00   .47022E-01  .000020   .000049   .470
SF18     1.723258  -.13405E+00   .49509E-01  .000026   .000063   .460
SF19     1.668237  -.10996E+00   .33291E-01  .000024   .000060   .455
SF01     1.721963  -.13351E+00   .49172E-01  .000026   .000064   .460
SF03     1.849159  -.19164E+00   .93727E-01  .000021   .000050   .475
SFL6     1.807416  -.17135E+00   .82465E-01  .000007   .000020   .400
SFL11    1.786881  -.16537E+00   .80355E-01  .000010   .000032   .400
SFL14    1.763851  -.15557E+00   .73200E-01  .000009   .000028   .400
SF9      1.655846  -.10618E+00   .31661E-01  .000021   .000052   .455
SF04     1.752762  -.14714E+00   .59047E-01  .000021   .000051   .465
KZF2     1.530181  -.56549E-01   .19976E-02  .000005   .000012   .400
KZF4     1.571262  -.65208E-01   .67944E-02  .000010   .000026   .400
KZF5     1.522016  -.54803E-01   .14168E-02  .000006   .000015   .400
KZF6     1.527565  -.56874E-01   .23207E-02  .000008   .000019   .450
PKS1     1.517818  -.41316E-01   .36424E-02  .000003   .000006   .650
KZFS4    1.614407  -.76981E-01   .87980E-02  .000009   .000023   .400
KZFS5    1.655297  -.90420E-01   .15161E-01  .000012   .000031   .400
KZFS8    1.721949  -.11340E+00   .28476E-01  .000018   .000045   .455
SFS1     1.925965  -.23796E+00   .14086E+00  .000023   .000069   .400
SFS3     1.786820  -.16216E+00   .70811E-01  .000022   .000053   .470
SFS5     1.763788  -.15236E+00   .64164E-01  .000021   .000050   .470
SFS01    1.925912  -.23366E+00   .13224E+00  .000018   .000045   .400
SFSL3    1.786805  -.16157E+00   .75531E-01  .000008   .000021   .400
LAK6     1.643293  -.60955E-01  -.16220E-02  .000008   .000021   .400
LAK7     1.652403  -.61494E-01  -.18154E-02  .000009   .000024   .400
LAK8     1.713954  -.73209E-01   .14479E-03  .000012   .000032   .400
LAK9     1.691914  -.69713E-01  -.31263E-03  .000008   .000022   .400
LAK10    1.721029  -.78821E-01   .41436E-02  .000017   .000046   .400
LAK11    1.659127  -.63462E-01   .21579E-04  .000013   .000034   .400
LAK12    1.678787  -.67723E-01   .48866E-03  .000007   .000022   .400
LAK13    1.694441  -.71833E-01   .79166E-03  .000012   .000032   .400
LAK14    1.697706  -.69383E-01  -.14255E-02  .000007   .000017   .400
LAK18    1.730124  -.73749E-01  -.73942E-03  .000011   .000029   .400
LAK01    1.640772  -.59107E-01  -.36215E-02  .000005   .000010   .400
LAK02    1.670846  -.64640E-01  -.56493E-03  .000010   .000027   .400
LAK03    1.670935  -.71457E-01   .55133E-02  .000016   .000042   .400
LAK04    1.651835  -.64021E-01   .13869E-02  .000012   .000031   .400
LAK05    1.659188  -.67901E-01   .36104E-02  .000015   .000039   .400
LAK06    1.678861  -.73559E-01   .59525E-02  .000018   .000046   .400
LAK07    1.678816  -.70075E-01   .25850E-02  .000015   .000039   .400
LAK08    1.694480  -.75164E-01   .52193E-02  .000019   .000050   .400
LAKO9    1.735028  -.78807E-01   .20393E-02  .000012   .000034   .400
LAK010   1.726980  -.74872E-01   .23074E-04  .000013   .000036   .400
LAK011   1.742014  -.77748E-01   .86582E-03  .000012   .000034   .400
LAK013   1.641813  -.62217E-01   .74913E-03  .000011   .000029   .400
LAK014   1.697691  -.68322E-01  -.18906E-02  .000008   .000021   .400
LASK01   1.756042  -.79715E-01   .13705E-02  .000014   .000038   .400
LASK02   1.787636  -.86773E-01   .36241E-02  .000018   .000049   .400
LAF2     1.745194  -.91311E-01   .12664E-01  .000023   .000057   .400
LAF3     1.718081  -.82230E-01   .86509E-02  .000020   .000052   .400
LAF7     1.751015  -.11613E+00   .34483E-01  .000017   .000042   .460
LAF8     1.736482  -.98005E-01   .18836E-01  .000020   .000051   .455
LAF01    1.701046  -.80012E-01   .93239E-02  .000020   .000050   .455
LAF02    1.721182  -.90312E-01   .15374E-01  .000021   .000053   .455
LAF03    1.736061  -.81426E-01   .31868E-02  .000013   .000034   .400
LAF04    1.758138  -.87065E-01   .62029E-02  .000019   .000049   .400
LAF05    1.763361  -.10400E+00   .21969E-01  .000019   .000049   .455
LAF06    1.687003  -.76744E-01   .76763E-02  .000018   .000045   .400
LAF07    1.714032  -.90480E-01   .16012E-01  .000018   .000045   .455
LAF08    1.721225  -.93705E-01   .18212E-01  .000021   .000052   .455
LAF09    1.698037  -.78983E-01   .84302E-02  .000020   .000049   .455
LAF010   1.744286  -.83134E-01   .40097E-02  .000015   .000040   .400
LAF011   1.721126  -.85860E-01   .11605E-01  .000025   .000061   .400
LAF012   1.784545  -.11816E+00   .33980E-01  .000015   .000038   .460
LAF015   1.751025  -.11686E+00   .34378E-01  .000025   .000063   .455
LASF01   1.787175  -.97737E-01   .11925E-01  .000023   .000059   .400
LASF02   1.800874  -.10377E+00   .15291E-01  .000025   .000063   .400
LASF03   1.807515  -.10832E+00   .18407E-01  .000025   .000062   .455
LASF04   1.816858  -.10092E+00   .10266E-01  .000022   .000059   .400
LASF05   1.836212  -.10735E+00   .13466E-01  .000026   .000067   .400
LASF06   1.842396  -.10690E+00   .12317E-01  .000027   .000071   .400
LASF07   1.864490  -.11403E+00   .16911E-01  .000030   .000077   .400
LASF08   1.884553  -.11879E+00   .18058E-01  .000038   .000094   .400
LASFO9   1.817261  -.96322E-01   .78480E-02  .000027   .000069   .400
LASF10   1.835606  -.12277E+00   .26948E-01  .000025   .000064   .455
LASF12   1.804240  -.94730E-01   .75577E-02  .000024   .000060   .450
LASF13   1.805855  -.11136E+00   .21085E-01  .000023   .000059   .400
LASF14   1.789196  -.91550E-01   .61298E-02  .000019   .000052   .400
LASF15   1.805240  -.94932E-01   .70549E-02  .000020   .000052   .400
LASF16   1.773624  -.85952E-01   .38009E-02  .000018   .000047   .400
LASF17   1.796261  -.96643E-01   .87690E-02  .000021   .000054   .400
LASF21   1.852133  -.14342E+00   .46039E-01  .000024   .000060   .460
LASF24   1.908697  -.12963E+00   .22392E-01  .000045   .000114   .400
#-------------------------------------------------------------------------------------------------------------
#HOYA GLASS CATALOGUE: QUADRATIC MODEL,VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
FC1      1.471197  -.38894E-01  -.35889E-02  .000004   .000008   .500
FC3      1.465015  -.39159E-01  -.25439E-02  .000011   .000028   .450
FC5      1.487993  -.38520E-01  -.40410E-02  .000005   .000009   .495
PC1      1.504328  -.41920E-01  -.40876E-02  .000007   .000015   .485
PC2      1.518788  -.44196E-01  -.36503E-02  .000004   .000006   .640
PC3      1.526011  -.45160E-01  -.33593E-02  .000004   .000007   .645
PCS1     1.517825  -.41301E-01  -.41142E-02  .000005   .000010   .490
PCD2     1.569385  -.50047E-01  -.32903E-02  .000004   .000008   .500
PCD3     1.552952  -.48313E-01  -.24874E-02  .000005   .000011   .400
BSC1     1.510675  -.44631E-01  -.26687E-02  .000004   .000006   .645
BSC3     1.498866  -.42589E-01  -.48206E-02  .000005   .000009   .495
BSC6     1.531749  -.47426E-01  -.22110E-02  .000005   .000014   .400
BSC7     1.517384  -.44735E-01  -.35228E-02  .000004   .000008   .500
BACL1    1.527052  -.48461E-01  -.29216E-03  .000006   .000016   .400
BACL3    1.518973  -.47545E-01  -.12866E-02  .000004   .000011   .400
C3       1.518870  -.48586E-01   .15782E-03  .000009   .000025   .400
C5       1.523124  -.48613E-01  -.31971E-03  .000009   .000026   .400
C7       1.511735  -.46812E-01  -.17858E-02  .000005   .000015   .400
C10      1.502013  -.49158E-01   .17914E-02  .000010   .000026   .400
C12      1.523719  -.49311E-01   .14235E-03  .000009   .000026   .400
ZNC1     1.533814  -.50766E-01  -.53012E-03  .000012   .000029   .450
ZNC5     1.534442  -.53211E-01   .16783E-02  .000009   .000025   .400
ZNC7     1.509074  -.46080E-01  -.29643E-02  .000004   .000006   .640
BAC1     1.573217  -.55007E-01   .13141E-02  .000009   .000027   .400
BAC2     1.540616  -.50014E-01  -.25226E-03  .000007   .000020   .400
BAC4     1.569563  -.56086E-01   .11207E-02  .000007   .000020   .400
BAC5     1.557397  -.52537E-01  -.59029E-03  .000012   .000030   .455
BAC6     1.575178  -.56279E-01   .16087E-02  .000010   .000027   .400
BACD1    1.611028  -.59517E-01   .80099E-03  .000009   .000027   .400
BACD2    1.608159  -.59148E-01   .11376E-02  .000012   .000034   .400
BACD3    1.609561  -.57193E-01  -.13727E-03  .000009   .000024   .400
BACD4    1.613475  -.57835E-01  -.15577E-03  .000010   .000028   .400
BACD5    1.589827  -.53309E-01  -.19340E-02  .000005   .000012   .400
BACD6    1.614541  -.60124E-01   .83880E-03  .000013   .000035   .400
BACD7    1.608032  -.56482E-01  -.75606E-03  .000010   .000028   .400
BACD8    1.611961  -.60503E-01   .13813E-02  .000012   .000032   .400
BACD9    1.614853  -.61497E-01   .21164E-02  .000010   .000030   .400
BACD10   1.623591  -.60439E-01   .78670E-03  .000013   .000035   .400
BACD11   1.564512  -.51328E-01  -.14906E-02  .000006   .000016   .400
BACD12   1.583840  -.54231E-01  -.11493E-02  .000013   .000033   .455
BACD13   1.592545  -.56100E-01   .28713E-03  .000010   .000027   .400
BACD14   1.603831  -.55000E-01  -.14630E-02  .000010   .000026   .400
BACD15   1.623771  -.59310E-01  -.38821E-03  .000005   .000014   .400
BACD16   1.621155  -.56975E-01  -.17103E-02  .000006   .000016   .400
BACD18   1.639374  -.63556E-01   .18496E-02  .000012   .000032   .400
BACED1   1.618030  -.63127E-01   .28050E-02  .000012   .000037   .400
BACED2   1.623146  -.64634E-01   .34189E-02  .000008   .000024   .400
BACED3   1.615704  -.66161E-01   .53237E-02  .000016   .000041   .400
BACED4   1.618461  -.61794E-01   .18908E-02  .000014   .000037   .400
BACED5   1.659369  -.71308E-01   .58803E-02  .000011   .000030   .400
BACED9   1.621015  -.68465E-01   .70544E-02  .000013   .000034   .400
BACED20  1.649381  -.67409E-01   .39973E-02  .000013   .000037   .400
LACL1    1.641669  -.62391E-01  -.79920E-03  .000007   .000019   .400
LACL2    1.651040  -.64598E-01   .88842E-03  .000006   .000014   .400
LACL3    1.665698  -.68713E-01   .27293E-02  .000007   .000023   .400
LACL4    1.670540  -.71580E-01   .25869E-02  .000007   .000008   .400
LACL5    1.694488  -.75314E-01   .36724E-02  .000003   .000037   .400
LACL6    1.640776  -.58974E-01  -.29342E-02  .000006   .000018   .400
LACL7    1.670844  -.64733E-01  -.20721E-02  .000011   .000029   .400
LACL8    1.678813  -.70001E-01   .29117E-02  .000016   .000042   .400
LACL9    1.678871  -.73790E-01   .58047E-02  .000023   .000059   .455
LAC6     1.643302  -.61352E-01  -.15716E-02  .000010   .000027   .450
LAC7     1.652408  -.61721E-01  -.18967E-02  .000016   .000040   .455
LAC8     1.713957  -.73130E-01  -.56855E-03  .000010   .000027   .400
LAC9     1.691912  -.69904E-01  -.13379E-02  .000009   .000023   .450
LAC10    1.721032  -.78902E-01   .28940E-02  .000015   .000040   .400
LAC11    1.659130  -.63646E-01   .15274E-02  .000008   .000021   .400
LAC12    1.678786  -.67478E-01   .17257E-03  .000012   .000033   .400
LAC13    1.694439  -.71732E-01   .29343E-02  .000020   .000050   .400
LAC14    1.697713  -.69586E-01  -.14928E-02  .000007   .000019   .400
LAC15    1.697695  -.68759E-01  -.15483E-02  .000010   .000027   .400
TAC1     1.726985  -.75257E-01  -.13834E-02  .000004   .000011   .400
TAC2     1.742017  -.77852E-01  -.85137E-04  .000015   .000038   .450
TAC4     1.735038  -.79414E-01   .22068E-02  .000014   .000041   .400
CF1      1.541179  -.58477E-01   .46870E-02  .000004   .000013   .400
CF2      1.527040  -.56828E-01   .36469E-02  .000009   .000024   .400
CF3      1.515220  -.52009E-01   .20182E-02  .000006   .000017   .400
CF4      1.534323  -.57055E-01   .42410E-02  .000009   .000026   .400
CF5      1.523840  -.56583E-01   .43226E-02  .000007   .000021   .400
CF6      1.518135  -.54715E-01   .34292E-02  .000007   .000019   .400
SBF1     1.551953  -.61359E-01   .49468E-02  .000006   .000017   .400
SBF2     1.530180  -.56611E-01   .22774E-02  .000009   .000019   .400
SBF5     1.522013  -.54600E-01   .92355E-03  .000005   .000013   .400
SBF6     1.527567  -.56952E-01   .21709E-02  .000006   .000017   .400
BAFL2    1.571798  -.61801E-01   .54514E-01  .000013   .000035   .400
BAFL3    1.572127  -.59414E-01   .34299E-02  .000015   .000039   .400
BAFL4    1.580352  -.59511E-01   .27671E-02  .000011   .000029   .400
BAFL6    1.589840  -.61280E-01   .26344E-02  .000023   .000058   .460
FEL1     1.548997  -.65702E-01   .86800E-02  .000013   .000034   .455
FEL2     1.541543  -.63000E-01   .74966E-02  .000009   .000024   .400
FEL3     1.560980  -.65316E-01   .87281E-02  .000017   .000042   .455
FEL4     1.562271  -.68163E-01   .99719E-02  .000012   .000032   .400
FEL6     1.532505  -.59940E-01   .51426E-02  .000009   .000023   .455
FEL7     1.549698  -.66333E-01   .90560E-02  .000013   .000032   .455
BAF3     1.583573  -.68863E-01   .82355E-02  .000018   .000045   .460
BAF4     1.606610  -.75643E-01   .13279E-01  .000020   .000050   .455
BAF5     1.608178  -.67701E-01   .78241E-02  .000011   .000033   .400
BAF6     1.589876  -.66743E-01   .78757E-02  .000009   .000028   .400
BAF7     1.608959  -.72250E-01   .10450E-01  .000013   .000034   .400
BAF8     1.624693  -.72855E-01   .92752E-02  .000011   .000032   .400
BAF9     1.644243  -.73734E-01   .89076E-02  .000017   .000043   .400
BAF10    1.671048  -.78004E-01   .10037E-01  .000016   .000040   .400
BAF11    1.667712  -.75763E-01   .98400E-02  .000027   .000068   .455
BAF12    1.640320  -.77786E-01   .12762E-01  .000016   .000041   .455
BAF13    1.669986  -.81743E-01   .13391E-01  .000011   .000031   .400
BAF20    1.686899  -.85684E-01   .14115E-01  .000013   .000033   .455
BAF21    1.665194  -.74630E-01   .93588E-02  .000012   .000037   .400
BAF22    1.683591  -.83790E-01   .14835E-01  .000017   .000046   .400
FL1      1.574054  -.73665E-01   .14101E-01  .000025   .000062   .455
FL2      1.590242  -.78748E-01   .15554E-01  .000019   .000049   .455
FL3      1.583143  -.75884E-01   .14547E-01  .000015   .000039   .400
FIL4     1.579442  -.76015E-01   .13519E-01  .000015   .000037   .455
FL5      1.582455  -.77885E-01   .15494E-01  .000015   .000040   .400
FIL6     1.568274  -.72636E-01   .12547E-01  .000011   .000029   .400
FL7      1.576004  -.75927E-01   .14133E-01  .000012   .000031   .400
F1       1.627131  -.95592E-01   .24671E-01  .000022   .000053   .460
F2       1.621260  -.93300E-01   .23967E-01  .000017   .000044   .400
F3       1.614114  -.90621E-01   .22485E-01  .000016   .000040   .400
F4       1.617791  -.91985E-01   .23450E-01  .000019   .000046   .400
F5       1.604552  -.86797E-01   .19988E-01  .000018   .000044   .400
F6       1.637641  -.98255E-01   .26390E-01  .000023   .000057   .460
F7       1.626616  -.95878E-01   .26309E-01  .000023   .000058   .455
F8       1.596601  -.83106E-01   .18123E-01  .000013   .000035   .400
F9       1.621611  -.89094E-01   .20935E-01  .000013   .000032   .400
F11      1.622194  -.94256E-01   .28240E-01  .000002   .000005   .400
F15      1.606793  -.87398E-01   .20334E-01  .000015   .000038   .400
BAFD1    1.627203  -.87536E-01   .20081E-01  .000022   .000055   .460
BAFD2    1.665778  -.10101E+00   .27890E-01  .000021   .000052   .455
BAFD3    1.608248  -.82368E-01   .17515E-01  .000011   .000031   .400
BAFD4    1.652493  -.92895E-01   .22484E-01  .000022   .000055   .400
BAFD5    1.604252  -.77956E-01   .14960E-01  .000017   .000043   .400
BAFD6    1.668691  -.87185E-01   .17602E-01  .000015   .000041   .400
BAFD7    1.702763  -.93284E-01   .20351E-01  .000017   .000042   .455
BAFD8    1.724778  -.10403E+00   .26382E-01  .000011   .000028   .465
BAFD10   1.651340  -.90379E-01   .20344E-01  .000018   .000045   .455
BAFD14   1.701106  -.10923E+00   .32787E-01  .000014   .000036   .460
PD1      1.719086  -.13212E+00   .48680E-01  .000030   .000073   .460
FD2      1.649057  -.10436E+00   .31106E-01  .000019   .000047   .455
FD3      1.741857  -.14223E+00   .55419E-01  .000025   .000062   .465
FD4      1.757144  -.14879E+00   .60002E-01  .000027   .000066   .470
FD5      1.674190  -.11386E+00   .36446E-01  .000022   .000055   .455
FD6      1.807421  -.17120E+00   .76867E-01  .000024   .000059   .470
FD7      1.641123  -.10094E+00   .28912E-01  .000022   .000055   .455
FD8      1.690503  -.12034E+00   .40552E-01  .000021   .000052   .455
FD9      1.655845  -.10582E+00   .31164E-01  .000022   .000054   .455
FD10     1.730075  -.13958E+00   .56997E-01  .000009   .000022   .480
FD11     1.786875  -.16491E+00   .79444E-01  .000032   .000061   .500
FD12     1.649675  -.10455E+00   .31562E-01  .000022   .000054   .455
FD13     1.742663  -.14487E+00   .61050E-01  .000007   .000022   .400
FD14     1.763852  -.15549E+00   .70392E-01  .000004   .000008   .485
FD15     1.700596  -.12635E+00   .47464E-01  .000020   .000049   .465
FD18     1.723258  -.13407E+00   .49462E-01  .000025   .000061   .460
FD19     1.668233  -.10984E+00   .34152E-01  .000027   .000066   .460
FD20     1.721969  -.13361E+00   .50536E-01  .000012   .000029   .400
FDS2     1.730102  -.13790E+00   .53560E-01  .000022   .000055   .465
FDS3     1.786830  -.16324E+00   .72352E-01  .000012   .000031   .400
FDS5     1.763809  -.15339E+00   .65367E-01  .000021   .000052   .475
FDS9     1.849166  -.19205E+00   .93613E-01  .000028   .000067   .480
FF1      1.511899  -.55101E-01   .67868E-02  .000005   .000013   .450
FF2      1.533392  -.63591E-01   .12632E-01  .000005   .000010   .700
FF5      1.593893  -.91117E-01   .29616E-01  .000005   .000012   .475
LAFL1    1.687005  -.76394E-01   .80769E-02  .000026   .000065   .400
LAFL2    1.698033  -.79060E-01   .72356E-02  .000017   .000043   .455
LAFL3    1.701356  -.80486E-01   .90172E-02  .000021   .000053   .455
LAFL4    1.713888  -.90546E-01   .11879E-01  .000009   .000027   .400
LAFL5    1.721176  -.90054E-01   .13565E-01  .000016   .000040   .455
LAFL6    1.721231  -.94031E-01   .14619E-01  .000011   .000028   .455
LAF2     1.745189  -.91085E-01   .12899E-01  .000015   .000041   .400
LAF3     1.718078  -.82313E-01   .58408E-02  .000019   .000050   .400
LAF7     1.751029  -.11689E+00   .28489E-01  .000022   .000056   .455
NBF1     1.744391  -.83293E-01   .28524E-02  .000019   .000048   .455
NBF2     1.758144  -.87415E-01   .57537E-02  .000020   .000052   .400
NBF3     1.736068  -.81455E-01   .27393E-02  .000016   .000040   .400
TAF1     1.773625  -.85939E-01   .26756E-02  .000015   .000041   .400
TAF2     1.795759  -.96336E-01   .81892E-02  .000023   .000057   .400
TAF3     1.805449  -.95286E-01   .65815E-02  .000018   .000049   .400
TAF4     1.789195  -.91456E-01   .53844E-02  .000018   .000068   .400
NBFD1    1.790331  -.10137E+00   .13136E-01  .000021   .000032   .400
NBFD2    1.798590  -.10628E+00   .17042E-01  .000026   .000054   .400
NBFD3    1.805959  -.11124E+00   .19874E-01  .000026   .000087   .400
NBFD4    1.832225  -.12435E+00   .28270E-01  .000013   .000063   .455
NBFD5    1.763356  -.10355E+00   .21511E-01  .000028   .000051   .455
NBFD6    1.758188  -.11366E+00   .30442E-01  .000021   .000054   .400
NBFD7    1.784548  -.11852E+00   .32379E-01  .000017   .000068   .460
NBFD8    1.809021  -.12387E+00   .34298E-01  .000035   .000070   .460
NBFD9    1.758593  -.12966E+00   .40986E-01  .000024   .000043   .460
NBFD1O   1.835598  -.12213E+00   .28139E-01  .000025   .000059   .400
NBFD11   1.787185  -.98435E-01   .10335E-01  .000015   .000043   .400
NBFD12   1.800860  -.10369E+00   .14019E-01  .000025   .000065   .400
NBFD13   1.807522  -.10854E+00   .17712E-01  .000022   .000059   .400
NBFD14   1.803002  -.99501E-01   .98535E-02  .000021   .000054   .400
TAFD1    1.816026  -.10142E+00   .10051E-01  .000010   .000034   .400
TAFD2    1.839131  -.10960E+00   .15108E-01  .000028   .000076   .400
TAFD5    1.836398  -.10680E+00   .12560E-01  .000022   .000062   .400
TAFD9    1.852179  -.14387E+00   .47718E-01  .000017   .000043   .465
TAFD10   1.816821  -.10076E+00   .10203E-01  .000022   .000062   .400
TAFD13   1.857070  -.12788E+00   .29478E-01  .000032   .000081   .460
ADC1     1.620722  -.55026E-01   .10681E-02  .000016   .000042   .400
ADC2     1.597778  -.59520E-01   .45984E-02  .000002   .000005   .655
ADF1     1.565769  -.59021E-01  -.25774E-03  .000007   .000017   .450
ADF4     1.613480  -.75143E-01   .82376E-02  .000006   .000016   .400
ADF8     1.687649  -.88025E-01   .12025E-01  .000010   .000026   .400
BACD165  1.621164  -.57423E-01  -.19053E-02  .000009   .000024   .400
BAFD15   1.703234  -.95456E-01   .16868E-01  .000017   .000047   .400
TAFD17   1.879648  -.12595E+00   .23628E-01  .000031   .000076   .455
FCD10    1.456866  -.27882E-01  -.18253E-02  .000006   .000016   .400
#-------------------------------------------------------------------------------------------------------------
#CORNING-FRANCE GLASS CATALOGUE: QUADRATIC MODEL,VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
465657   1.465014  -.39247E-01  -.31742E-02  .000004   .000007   .400
487704   1.487751  -.38464E-01  -.42026E-02  .000004   .000007   .505
488658   1.488042  -.41241E-01  -.43037E-02  .000006   .000012   .495
604640   1.604192  -.52156E-01  -.47476E-03  .000009   .000027   .400
510635   1.510575  -.44546E-01  -.26952E-02  .000004   .000007   .400
517642   1.517389  -.44703E-01  -.32916E-02  .000004   .000007   .510
518651   1.518778  -.44230E-01  -.35472E-02  .000005   .000008   .505
511604   1.511613  -.46895E-01  -.14527E-02  .000005   .000013   .400
518603   1.518825  -.47650E-01  -.17597E-02  .000004   .000008   .400
523594   1.523633  -.48675E-01  -.71601E-03  .000006   .000015   .400
540597   1.540160  -.50064E-01  -.13676E-02  .000004   .000009   .400
569560   1.569531  -.56046E-01   .14863E-02  .000010   .000028   .400
573575   1.573219  -.55089E-01  -.47218E-05  .000006   .000018   .400
564609   1.564676  -.51298E-01  -.20934E-02  .000005   .000011   .400
589612   1.589696  -.53309E-01  -.16691E-02  .000006   .000016   .400
609590   1.609502  -.57029E-01  -.27299E-03  .000010   .000028   .400
613585   1.613451  -.57913E-01  -.64555E-03  .000006   .000016   .400
614564   1.614285  -.60055E-01   .11546E-02  .000012   .000032   .400
618551   1.618415  -.61840E-01   .21083E-02  .000012   .000033   .400
620603   1.621152  -.56956E-01  -.14068E-02  .000006   .000017   .400
623581   1.623780  -.59333E-01  -.26310E-03  .000007   .000019   .400
623569   1.623593  -.60437E-01   .10772E-02  .000012   .000033   .400
639555   1.639336  -.63488E-01   .19223E-02  .000014   .000039   .400
529518   1.529735  -.56385E-01   .17434E-02  .000006   .000015   .400
548535   1.548492  -.56516E-01   .30074E-02  .000006   .000016   .400
558525   1.558274  -.58312E-01   .85869E-02  .000003   .000007   .400
623531   1.623348  -.64623E-01   .33707E-02  .000008   .000024   .400
659510   1.659435  -.71199E-01   .41371E-02  .000010   .000030   .400
548457   1.548960  -.65893E-01   .86875E-02  .000010   .000028   .400
581408   1.582416  -.78037E-01   .15369E-01  .000014   .000038   .400
606439   1.606597  -.75618E-01   .13038E-01  .000008   .000023   .400
624469   1.624957  -.73143E-01   .75841E-02  .000012   .000032   .400
648462   1.648755  -.77071E-01   .89130E-02  .000012   .000033   .400
667484   1.667688  -.75643E-01   .87589E-02  .000019   .000051   .400
670471   1.671029  -.78182E-01   .87668E-02  .000018   .000048   .400
613443   1.614396  -.76236E-01   .76056E-02  .000007   .000019   .400
616444   1.617001  -.76422E-01   .68935E-02  .000007   .000018   .400
604381   1.604631  -.86602E-01   .20326E-01  .000015   .000040   .400
620363   1.621230  -.93298E-01   .24172E-01  .000016   .000042   .400
626356   1.627157  -.95968E-01   .26056E-01  .000017   .000045   .400
637353   1.637779  -.98387E-01   .26265E-01  .000018   .000046   .400
648339   1.649352  -.10414E+00   .30495E-01  .000023   .000063   .400
667331   1.668432  -.10979E+00   .33473E-01  .000020   .000049   .400
650392   1.651393  -.90794E-01   .20058E-01  .000014   .000037   .400
702411   1.703028  -.93516E-01   .18085E-01  .000019   .000049   .400
724380   1.724852  -.10403E+00   .25597E-01  .000020   .000049   .460
655401   1.656673  -.89767E-01   .13568E-01  .000010   .000027   .400
696365   1.697353  -.10439E+00   .22298E-01  .000013   .000035   .400
673323   1.674180  -.11342E+00   .35610E-01  .000019   .000050   .400
689312   1.690574  -.12018E+00   .40006E-01  .000021   .000053   .455
699301   1.700651  -.12620E+00   .46034E-01  .000016   .000040   .465
717295   1.719138  -.13213E+00   .50528E-01  .000016   .000039   .470
728284   1.730123  -.13922E+00   .55366E-01  .000014   .000034   .475
740281   1.741868  -.14289E+00   .57523E-01  .000015   .000037   .480
755276   1.757143  -.14847E+00   .61450E-01  .000015   .000036   .475
762269   1.763809  -.15355E+00   .64359E-01  .000015   .000036   .480
785259   1.787139  -.16418E+00   .73000E-01  .000014   .000033   .485
805255   1.807326  -.17095E+00   .76830E-01  .000017   .000040   .480
734265   1.735978  -.14996E+00   .70999E-01  .000015   .000048   .400
641601   1.641267  -.58987E-01   .13426E-02  .000007   .000020   .400
651559   1.651968  -.64392E-01   .31046E-03  .000011   .000030   .400
652585   1.652407  -.61652E-01   .13687E-02  .000009   .000024   .400
658572   1.658335  -.63542E-01   .32903E-03  .000011   .000030   .400
678555   1.678889  -.67542E-01  -.11606E-03  .000009   .000027   .400
691548   1.691921  -.69723E-01   .54766E-03  .000010   .000028   .400
697554   1.697916  -.69652E-01  -.91602E-03  .000007   .000019   .400
697562   1.697899  -.68664E-01   .15192E-02  .000007   .000020   .400
713538   1.713958  -.73248E-01   .17431E-03  .000009   .000026   .400
720503   1.721037  -.78966E-01   .33291E-02  .000014   .000039   .400
734514   1.734545  -.78819E-01   .21033E-02  .000014   .000038   .400
689496   1.690011  -.76453E-01   .51446E-02  .000022   .000058   .400
717480   1.718088  -.82250E-01   .67440E-02  .000018   .000048   .400
744448   1.745195  -.91293E-01   .10825E-01  .000013   .000037   .400
788474   1.789201  -.91625E-01   .59436E-02  .000016   .000044   .400
